,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Client ID,,Laboratory Control Sample,,,,,,,
,,,,,,,,,
Battelle ID,,CG920LCS-P,,,,,,,
Sample Type,,LCS,,,,,,,
Collection Date,,08/25/15,,,,,,,
Extraction Date,,08/25/15,,,,,,,
Analysis Date,,09/03/15,,,,,,,
Analytical Instrument,,FID,,,,,,,
% Moisture,,46.22,,,,,,,
% Lipid,,NA,,,,,,,
Matrix,,SEDIMENT,,,,,,,
Sample Size,,16.16,,,,,,,
Size Unit-Basis,,G_DRY,,,,,,,
Units,,UG/G_DRY,,Target,% Recovery,Qualifier,,,
,,,,,,,,,
n-Nonane,,0.556,,0.78,72,,,,
n-Decane,,0.699,,0.78,90,,,,
n-Undecane,,0.668,,0.78,86,,,,
n-Dodecane,,0.681,,0.78,88,,,,
n-Tridecane,,0.677,,0.78,87,,,,
Isoprenoid RRT 1380,,0.008,U,,,,,,
n-Tetradecane,,0.711,,0.78,92,,,,
Isoprenoid RRT 1470,,0.006,U,,,,,,
n-Pentadecane,,0.712,,0.77,92,,,,
n-Hexadecane,,0.705,,0.78,91,,,,
Norpristane (1650),,0.013,U,,,,,,
n-Heptadecane,,0.710,,0.77,92,,,,
Pristane,,0.690,,0.78,89,,,,
n-Octadecane,,0.773,,0.78,100,,,,
Phytane,,0.749,,0.78,96,,,,
n-Nonadecane,,0.718,,0.77,93,,,,
n-Eicosane,,0.723,,0.77,93,,,,
n-Heneicosane,,0.731,,0.77,94,,,,
n-Docosane,,0.732,,0.78,94,,,,
n-Tricosane,,0.726,,0.77,94,,,,
n-Tetracosane,,0.777,,0.77,100,,,,
n-Pentacosane,,0.732,,0.78,94,,,,
n-Hexacosane,,0.730,,0.78,94,,,,
n-Heptacosane,,0.729,,0.77,94,,,,
n-Octacosane,,0.726,,0.77,94,,,,
n-Nonacosane,,0.783,,0.77,101,,,,
n-Triacontane,,0.736,,0.77,95,,,,
n-Hentriacontane,,0.735,,0.78,95,,,,
n-Dotriacontane,,0.722,,0.78,93,,,,
n-Tritriacontane,,0.681,,0.77,88,,,,
n-Tetratriacontane,,0.690,,0.78,89,,,,
n-Pentatriacontane,,0.634,,0.74,86,,,,
n-Hexatriacontane,,0.641,,0.78,83,,,,
n-Heptatriacontane,,0.663,,0.77,86,,,,
n-Octatriacontane,,0.619,,0.78,80,,,,
n-Nonatriacontane,,0.612,,0.78,79,,,,
n-Tetracontane,,0.603,,0.77,78,,,,
Sum SHC (C9-C40),,23.774,,,,,,,
SHC Total (C9-C40),,0.718,U,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Surrogate Recoveries (%),,,,,,,,,
,,,,,,,,,
n-Tetracosane-d50,,95,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
