SiteCode,VariableCode,LabSampleCode,DataValue,CensorCode,OffsetValue,OffsetUnits,OffsetDescription,Qualifier,ValueAccuracy
6D,Ag-S-VV,JT-2014-SED-VV-6D,0.12,nc,18.9,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.003
6D,Al-S-VV,JT-2014-SED-VV-6D,3.16,nc,18.9,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.01
6D,As-S-VV,JT-2014-SED-VV-6D,14.2,nc,18.9,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.02
6D,Ba-S-VV,JT-2014-SED-VV-6D,372,nc,18.9,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.01
6D,Be-S-VV,JT-2014-SED-VV-6D,0.77,nc,18.9,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.009
6D,Cd-S-VV,JT-2014-SED-VV-6D,0.14,nc,18.9,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.001
6D,Cr-S-VV,JT-2014-SED-VV-6D,54.3,nc,18.9,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.4
6D,Cu-S-VV,JT-2014-SED-VV-6D,11.0,nc,18.9,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.2
6D,Fe-S-VV,JT-2014-SED-VV-6D,2.49,nc,18.9,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.01
6D,Hg-S-VV,JT-2014-SED-VV-6D,0.021,nc,18.9,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.001
6D,Mn-S-VV,JT-2014-SED-VV-6D,269,nc,18.9,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,2.4
6D,Ni-S-VV,JT-2014-SED-VV-6D,21.8,nc,18.9,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.004
6D,Pb-S-VV,JT-2014-SED-VV-6D,8.28,nc,18.9,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.002
6D,Sb-S-VV,JT-2014-SED-VV-6D,0.40,nc,18.9,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.001
6D,Se-S-VV,JT-2014-SED-VV-6D,0.58,nc,18.9,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.024
6D,Sn-S-VV,JT-2014-SED-VV-6D,1.32,nc,18.9,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.003
6D,Tl-S-VV,JT-2014-SED-VV-6D,0.25,nc,18.9,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.001
6D,V-S-VV,JT-2014-SED-VV-6D,80.6,nc,18.9,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.6
6D,Zn-S-VV,JT-2014-SED-VV-6D,58.1,nc,18.9,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.5
6D,TOC-S-VV,JT-2014-SED-VV-6D,0.77,nc,18.9,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.03
6D,Gravel-S-VV,JT-2014-SED-VV-6D,0.1,nc,18.9,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.1
6D,Sand-S-VV,JT-2014-SED-VV-6D,79.7,nc,18.9,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.1
6D,Silt-S-VV,JT-2014-SED-VV-6D,10.1,nc,18.9,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.1
6D,Clay-S-VV,JT-2014-SED-VV-6D,10.0,nc,18.9,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.1
4,Ag-S-VV,JT-2014-SED-VV-4,0.10,nc,16.2,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.003
4,Al-S-VV,JT-2014-SED-VV-4,2.01,nc,16.2,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.01
4,As-S-VV,JT-2014-SED-VV-4,8.46,nc,16.2,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.02
4,Ba-S-VV,JT-2014-SED-VV-4,258,nc,16.2,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.01
4,Be-S-VV,JT-2014-SED-VV-4,0.56,nc,16.2,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.009
4,Cd-S-VV,JT-2014-SED-VV-4,0.15,nc,16.2,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.001
4,Cr-S-VV,JT-2014-SED-VV-4,48.9,nc,16.2,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.4
4,Cu-S-VV,JT-2014-SED-VV-4,5.7,nc,16.2,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.2
4,Fe-S-VV,JT-2014-SED-VV-4,1.64,nc,16.2,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.01
4,Hg-S-VV,JT-2014-SED-VV-4,0.010,nc,16.2,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.001
4,Mn-S-VV,JT-2014-SED-VV-4,209,nc,16.2,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,2.4
4,Ni-S-VV,JT-2014-SED-VV-4,15.2,nc,16.2,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.004
4,Pb-S-VV,JT-2014-SED-VV-4,5.08,nc,16.2,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.002
4,Sb-S-VV,JT-2014-SED-VV-4,0.29,nc,16.2,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.001
4,Se-S-VV,JT-2014-SED-VV-4,0.55,nc,16.2,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.024
4,Sn-S-VV,JT-2014-SED-VV-4,1.23,nc,16.2,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.003
4,Tl-S-VV,JT-2014-SED-VV-4,0.18,nc,16.2,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.001
4,V-S-VV,JT-2014-SED-VV-4,50.6,nc,16.2,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.6
4,Zn-S-VV,JT-2014-SED-VV-4,38.0,nc,16.2,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.5
4,TOC-S-VV,JT-2014-SED-VV-4,0.68,nc,16.2,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.03
4,Gravel-S-VV,JT-2014-SED-VV-4,0.2,nc,16.2,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.1
4,Sand-S-VV,JT-2014-SED-VV-4,95.0,nc,16.2,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.1
4,Silt-S-VV,JT-2014-SED-VV-4,1.8,nc,16.2,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.1
4,Clay-S-VV,JT-2014-SED-VV-4,3.0,nc,16.2,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.1
7,Ag-S-VV,JT-2014-SED-VV-7,0.20,nc,26.0,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.003
7,Al-S-VV,JT-2014-SED-VV-7,7.07,nc,26.0,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.01
7,As-S-VV,JT-2014-SED-VV-7,16.8,nc,26.0,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.02
7,Ba-S-VV,JT-2014-SED-VV-7,672,nc,26.0,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.01
7,Be-S-VV,JT-2014-SED-VV-7,1.34,nc,26.0,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.009
7,Cd-S-VV,JT-2014-SED-VV-7,0.27,nc,26.0,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.001
7,Cr-S-VV,JT-2014-SED-VV-7,102,nc,26.0,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.4
7,Cu-S-VV,JT-2014-SED-VV-7,29.4,nc,26.0,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.2
7,Fe-S-VV,JT-2014-SED-VV-7,4.12,nc,26.0,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.01
7,Hg-S-VV,JT-2014-SED-VV-7,0.059,nc,26.0,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.001
7,Mn-S-VV,JT-2014-SED-VV-7,784,nc,26.0,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,2.4
7,Ni-S-VV,JT-2014-SED-VV-7,45.8,nc,26.0,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.004
7,Pb-S-VV,JT-2014-SED-VV-7,16.2,nc,26.0,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.002
7,Sb-S-VV,JT-2014-SED-VV-7,0.65,nc,26.0,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.001
7,Se-S-VV,JT-2014-SED-VV-7,0.90,nc,26.0,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.024
7,Sn-S-VV,JT-2014-SED-VV-7,3.67,nc,26.0,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.003
7,Tl-S-VV,JT-2014-SED-VV-7,0.51,nc,26.0,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.001
7,V-S-VV,JT-2014-SED-VV-7,174,nc,26.0,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.6
7,Zn-S-VV,JT-2014-SED-VV-7,113,nc,26.0,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.5
7,TOC-S-VV,JT-2014-SED-VV-7,1.20,nc,26.0,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.03
7,Gravel-S-VV,JT-2014-SED-VV-7,0,nc,26.0,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.1
7,Sand-S-VV,JT-2014-SED-VV-7,9.7,nc,26.0,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.1
7,Silt-S-VV,JT-2014-SED-VV-7,43.2,nc,26.0,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.1
7,Clay-S-VV,JT-2014-SED-VV-7,47.1,nc,26.0,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.1
8,Ag-S-VV,JT-2014-SED-VV-8-lab-duplicate-1,0.17,nc,18.5,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.003
8,Al-S-VV,JT-2014-SED-VV-8-lab-duplicate-1,5.53,nc,18.5,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.01
8,As-S-VV,JT-2014-SED-VV-8-lab-duplicate-1,12.9,nc,18.5,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.02
8,Ba-S-VV,JT-2014-SED-VV-8-lab-duplicate-1,567,nc,18.5,meter,Bottom depth of 1-cm-thick surficial sediment sample.,,0.01
