VariableCode,VariableName,Speciation,Units,UnitsAbbreviation,SampleMedium,ValueType,DataType,GeneralCategory,NoDataValue,QCLevel,CollectionMethod,SampleType,LabName,LabOrganization,LabMethodName,LabMethodDescription
Ag-S-VV,"Silver, total",Ag,micrograms per gram,µg/g,Sediment,Sample,Sporadic,Geology,-9999,1,Analyzed from top 1-cm of surficial sample taken from the sea floor using a 0.1 m^2 Van Veen grab.,Grab,Marine and Environmental Chemistry,Florida Institute of Technology,EPA 6020A,Analyzed from dry weight of sample using a Varian Model 820-MS inductively coupled plasma - mass spectrometer.
Al-S-VV,"Aluminum, total",Al,percent,%,Sediment,Sample,Sporadic,Geology,-9999,1,Analyzed from top 1-cm of surficial sample taken from the sea floor using a 0.1 m^2 Van Veen grab.,Grab,Marine and Environmental Chemistry,Florida Institute of Technology,EPA 7000B,Analyzed from dry weight of sample using a Perkin-Elmer Model 4000 atomic absorption spectrometer.
As-S-VV,"Arsenic, total",As,micrograms per gram,µg/g,Sediment,Sample,Sporadic,Geology,-9999,1,Analyzed from top 1-cm of surficial sample taken from the sea floor using a 0.1 m^2 Van Veen grab.,Grab,Marine and Environmental Chemistry,Florida Institute of Technology,EPA 6020A,Analyzed from dry weight of sample using a Varian Model 820-MS inductively coupled plasma - mass spectrometer.
Ba-S-VV,"Barium, total",Ba,micrograms per gram,µg/g,Sediment,Sample,Sporadic,Geology,-9999,1,Analyzed from top 1-cm of surficial sample taken from the sea floor using a 0.1 m^2 Van Veen grab.,Grab,Marine and Environmental Chemistry,Florida Institute of Technology,EPA 6020A,Analyzed from dry weight of sample using a Varian Model 820-MS inductively coupled plasma - mass spectrometer.
Be-S-VV,"Beryllium, total",Be,micrograms per gram,µg/g,Sediment,Sample,Sporadic,Geology,-9999,1,Analyzed from top 1-cm of surficial sample taken from the sea floor using a 0.1 m^2 Van Veen grab.,Grab,Marine and Environmental Chemistry,Florida Institute of Technology,EPA 6020A,Analyzed from dry weight of sample using a Varian Model 820-MS inductively coupled plasma - mass spectrometer.
Cd-S-VV,"Cadmium, total",Cd,micrograms per gram,µg/g,Sediment,Sample,Sporadic,Geology,-9999,1,Analyzed from top 1-cm of surficial sample taken from the sea floor using a 0.1 m^2 Van Veen grab.,Grab,Marine and Environmental Chemistry,Florida Institute of Technology,EPA 6020A,Analyzed from dry weight of sample using a Varian Model 820-MS inductively coupled plasma - mass spectrometer.
Cr-S-VV,"Chromium, total",Cr,micrograms per gram,µg/g,Sediment,Sample,Sporadic,Geology,-9999,1,Analyzed from top 1-cm of surficial sample taken from the sea floor using a 0.1 m^2 Van Veen grab.,Grab,Marine and Environmental Chemistry,Florida Institute of Technology,EPA 7000B,Analyzed from dry weight of sample using a Perkin-Elmer Model 4000 atomic absorption spectrometer.
Cu-S-VV,"Copper, total",Cu,micrograms per gram,µg/g,Sediment,Sample,Sporadic,Geology,-9999,1,Analyzed from top 1-cm of surficial sample taken from the sea floor using a 0.1 m^2 Van Veen grab.,Grab,Marine and Environmental Chemistry,Florida Institute of Technology,EPA 7000B,Analyzed from dry weight of sample using a Perkin-Elmer Model 4000 atomic absorption spectrometer.
Fe-S-VV,"Iron, total",Fe,percent,%,Sediment,Sample,Sporadic,Geology,-9999,1,Analyzed from top 1-cm of surficial sample taken from the sea floor using a 0.1 m^2 Van Veen grab.,Grab,Marine and Environmental Chemistry,Florida Institute of Technology,EPA 7000B,Analyzed from dry weight of sample using a Perkin-Elmer Model 4000 atomic absorption spectrometer.
Hg-S-VV,"Mercury, total",Hg,micrograms per gram,µg/g,Sediment,Sample,Sporadic,Geology,-9999,1,Analyzed from top 1-cm of surficial sample taken from the sea floor using a 0.1 m^2 Van Veen grab.,Grab,Marine and Environmental Chemistry,Florida Institute of Technology,EPA 7471A,Analyzed from wet weight of sample using a Laboratory Data Control Model 1235 Mercury Monitor and converted to a dry weight value.
