VariableCode,VariableName,Speciation,Units,UnitsAbbreviation,SampleMedium,ValueType,DataType,GeneralCategory,NoDataValue,QCLevel,CollectionMethod,SampleType,LabName,LabOrganization,LabMethodName,LabMethodDescription
Ag-T-dry weight,"Silver, total, dry weight",Ag,micrograms per gram,µg/g,Tissue,Sample,Sporadic,Biota,-9999,1,"Dissected tissue samples were prepared from biota collected using benthic trawls, traps and van Veen grabs",Grab/Trap/Trawl,Marine and Environmental Chemistry,Florida Institute of Technology,EPA 6020A,Analyzed from dry weight of sample using a Varian Model 820-MS inductively coupled plasma - mass spectrometer.
Al-T-dry-weight,"Aluminum, total, dry weight",Al,micrograms per gram,µg/g,Tissue,Sample,Sporadic,Biota,-9999,1,"Dissected tissue samples were prepared from biota collected using benthic trawls, traps and van Veen grabs",Grab/Trap/Trawl,Marine and Environmental Chemistry,Florida Institute of Technology,EPS 7000B,Analyzed from dry weight of sample using a Perkin-Elmer Model 4000 atomic absorption spectrometer.
As-T-dry-weight,"Arsenic, total, dry weight",As,micrograms per gram,µg/g,Tissue,Sample,Sporadic,Biota,-9999,1,"Dissected tissue samples were prepared from biota collected using benthic trawls, traps and van Veen grabs",Grab/Trap/Trawl,Marine and Environmental Chemistry,Florida Institute of Technology,EPA 6020A,Analyzed from dry weight of sample using a Varian Model 820-MS inductively coupled plasma - mass spectrometer.
Ba-T-dry weight,"Barium, total, dry weight",Ba,micrograms per gram,µg/g,Tissue,Sample,Sporadic,Biota,-9999,1,"Dissected tissue samples were prepared from biota collected using benthic trawls, traps and van Veen grabs",Grab/Trap/Trawl,Marine and Environmental Chemistry,Florida Institute of Technology,EPA 6020A,Analyzed from dry weight of sample using a Varian Model 820-MS inductively coupled plasma - mass spectrometer.
Be-T-dry weight,"Beryllium, total, dry weight",Be,micrograms per gram,µg/g,Tissue,Sample,Sporadic,Biota,-9999,1,"Dissected tissue samples were prepared from biota collected using benthic trawls, traps and van Veen grabs",Grab/Trap/Trawl,Marine and Environmental Chemistry,Florida Institute of Technology,EPA 6020A,Analyzed from dry weight of sample using a Varian Model 820-MS inductively coupled plasma - mass spectrometer.
Cd-T-dry weight,"Cadmium, total, dry weight",Cd,micrograms per gram,µg/g,Tissue,Sample,Sporadic,Biota,-9999,1,"Dissected tissue samples were prepared from biota collected using benthic trawls, traps and van Veen grabs",Grab/Trap/Trawl,Marine and Environmental Chemistry,Florida Institute of Technology,EPA 6020A,Analyzed from dry weight of sample using a Varian Model 820-MS inductively coupled plasma - mass spectrometer.
Cr-T-dry-weight,"Chromium, total, dry weight",Cr,micrograms per gram,µg/g,Tissue,Sample,Sporadic,Biota,-9999,1,"Dissected tissue samples were prepared from biota collected using benthic trawls, traps and van Veen grabs",Grab/Trap/Trawl,Marine and Environmental Chemistry,Florida Institute of Technology,EPA 6020A,Analyzed from dry weight of sample using a Varian Model 820-MS inductively coupled plasma - mass spectrometer.
Cu-T-dry-weight,"Copper, total, dry weight",Cu,micrograms per gram,µg/g,Tissue,Sample,Sporadic,Biota,-9999,1,"Dissected tissue samples were prepared from biota collected using benthic trawls, traps and van Veen grabs",Grab/Trap/Trawl,Marine and Environmental Chemistry,Florida Institute of Technology,EPS 7000B,Analyzed from dry weight of sample using a Perkin-Elmer Model 4000 atomic absorption spectrometer.
Fe-T-dry-weight,"Iron, total, dry weight",Fe,micrograms per gram,µg/g,Tissue,Sample,Sporadic,Biota,-9999,1,"Dissected tissue samples were prepared from biota collected using benthic trawls, traps and van Veen grabs",Grab/Trap/Trawl,Marine and Environmental Chemistry,Florida Institute of Technology,EPS 7000B,Analyzed from dry weight of sample using a Perkin-Elmer Model 4000 atomic absorption spectrometer.
Hg-T-dry-weight,"Mercury, total, dry weight",THg,micrograms per gram,µg/g,Tissue,Sample,Sporadic,Biota,-9999,1,"Dissected tissue samples were prepared from biota collected using benthic trawls, traps and van Veen grabs",Grab/Trap/Trawl,Marine and Environmental Chemistry,Florida Institute of Technology,EPA 7471A,Analyzed from dry weight of sample using a Laboratory Data Control Model 1235 Mercury Monitor and converted to a dry weight value.
