VariableCode,VariableName,Speciation,Units,UnitsAbbreviation,SampleMedium,ValueType,DataType,GeneralCategory,NoDataValue,QCLevel,CollectionMethod,SampleType,LabName,LabOrganization,LabMethodName,LabMethodDescription,,,,,,,,,,,,,,,
TSS,"Solids, total suspended",Not Applicable,milligrams per liter,mg/L,Surface water,Sample,Sporadic,Water Quality,-9999,1,Wading into the river with sample bottle(s) from the river bank,Grab,Marine and Environmental Chemistry,Florida Institute of Technology,Filter weighing,Weighed using a Sartorius M3P 6-place balance.,,,,,,,,,,,,,,,
TSS,"Solids, total suspended",Not Applicable,milligrams per liter,mg/L,Seawater,Sample,Sporadic,Water Quality,-9999,1,Peristalic pump through the sea ice or wading in with sample bottle from river bank,Grab,Marine and Environmental Chemistry,Florida Institute of Technology,Filter weighing,Weighed using a Sartorius M3P 6-place balance.,,,,,,,,,,,,,,,
Al-P,"Aluminum, particulate",Al,percent,%,Suspended particulate matter,Sample,Sporadic,Water Quality,-9999,1,Peristalic pump through the sea ice or wading in with sample bottle from river bank,Grab,Marine and Environmental Chemistry,Florida Institute of Technology,EPA 7000B,Analyzed from dry weight of sample using a Perkin-Elmer Model 4000 atomic absorption spectrometer.,,,,,,,,,,,,,,,
As-P,"Arsenic, particulate",As,micrograms per gram,µg/g,Suspended particulate matter,Sample,Sporadic,Water Quality,-9999,1,Peristalic pump through the sea ice or wading in with sample bottle from river bank,Grab,Marine and Environmental Chemistry,Florida Institute of Technology,EPA 6020A,Analyzed from dry weight of sample using a Varian Model 820-MS inductively coupled plasma - mass spectrometer.,,,,,,,,,,,,,,,
Ba-P,"Barium, particulate",Ba,micrograms per gram,µg/g,Suspended particulate matter,Sample,Sporadic,Water Quality,-9999,1,Peristalic pump through the sea ice or wading in with sample bottle from river bank,Grab,Marine and Environmental Chemistry,Florida Institute of Technology,EPA 6020A,Analyzed from dry weight of sample using a Varian Model 820-MS inductively coupled plasma - mass spectrometer.,,,,,,,,,,,,,,,
Cu-P,"Copper, particulate",Cu,micrograms per gram,µg/g,Suspended particulate matter,Sample,Sporadic,Water Quality,-9999,1,Peristalic pump through the sea ice or wading in with sample bottle from river bank,Grab,Marine and Environmental Chemistry,Florida Institute of Technology,EPA 6020A,Analyzed from dry weight of sample using a Varian Model 820-MS inductively coupled plasma - mass spectrometer.,,,,,,,,,,,,,,,
Fe-P,"Iron, particuate",Fe,percent,%,Suspended particulate matter,Sample,Sporadic,Water Quality,-9999,1,Peristalic pump through the sea ice or wading in with sample bottle from river bank,Grab,Marine and Environmental Chemistry,Florida Institute of Technology,EPA 7000B,Analyzed from dry weight of sample using a Perkin-Elmer Model 4000 atomic absorption spectrometer.,,,,,,,,,,,,,,,
Mn-P,"Manganese, particulate",Mn,micrograms per gram,µg/g,Suspended particulate matter,Sample,Sporadic,Water Quality,-9999,1,Peristalic pump through the sea ice or wading in with sample bottle from river bank,Grab,Marine and Environmental Chemistry,Florida Institute of Technology,EPA 7000B,Analyzed from dry weight of sample using a Perkin-Elmer Model 4000 atomic absorption spectrometer.,,,,,,,,,,,,,,,
N-P,"Nitrogen, particulate",N,percent,%,Suspended particulate matter,Sample,Sporadic,Water Quality,-9999,1,Peristalic pump through the sea ice or wading in with sample bottle from river bank,Grab,Marine and Environmental Chemistry,Florida Institute of Technology,EPA 440.0,Analyzed from dry weight of sample using a Leco TruMac Carbon/Nitrogen/Sulfur System.,,,,,,,,,,,,,,,
P-P,"Phosphorus, particulate",P,percent,%,Suspended particulate matter,Sample,Sporadic,Water Quality,-9999,1,Peristalic pump through the sea ice or wading in with sample bottle from river bank,Grab,Marine and Environmental Chemistry,Florida Institute of Technology,EPA 6020A,Analyzed from dry weight of sample using a Varian Model 820-MS inductively coupled plasma - mass spectrometer.,,,,,,,,,,,,,,,
