Project:,ANIMIDA III,,,,,,,,,,,,,,
Station:,W02,,,,,,,,,,,,,,
Date:,5/18/2015,,,,,,,,,,,,,,
Time (ADST):,19:13,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Pressure (db),Depth (m),Cond (S/m),Temp (deg C),Salinity (psu),Sigma-t,OBS (ntu),DO (mg/L),,,,,,,,
1.609,1.593,1.624096,-1.0709,19.2158,15.3754,6.6531,12.6231,,,,,,,,
1.631,1.614,1.994906,-1.3169,24.229,19.4323,5.6559,12.3147,,,,,,,,
1.655,1.638,2.294357,-1.5246,28.4212,22.8318,4.3449,12.0654,,,,,,,,
1.68,1.663,2.477141,-1.6569,31.0479,24.9657,2.7211,11.917,,,,,,,,
1.704,1.687,2.574629,-1.7359,32.478,26.1291,1.8032,11.8394,,,,,,,,
1.727,1.709,2.621,-1.7792,33.17,26.6926,1.4766,11.8013,,,,,,,,
1.749,1.731,2.638825,-1.799,33.4404,26.9129,1.3545,11.7646,,,,,,,,
1.772,1.754,2.646039,-1.8071,33.5502,27.0024,1.3171,11.7461,,,,,,,,
1.797,1.779,2.649301,-1.8099,33.5989,27.0421,1.2885,11.7608,,,,,,,,
1.823,1.804,2.650952,-1.8108,33.623,27.0617,1.2933,11.774,,,,,,,,
1.848,1.829,2.65183,-1.8111,33.6356,27.0718,1.3067,11.7862,,,,,,,,
1.872,1.853,2.65242,-1.811,33.6437,27.0784,1.3075,11.8019,,,,,,,,
1.894,1.875,2.652761,-1.8108,33.6481,27.0821,1.2943,11.821,,,,,,,,
1.915,1.896,2.652818,-1.8108,33.6489,27.0827,1.2668,11.833,,,,,,,,
1.934,1.914,2.652717,-1.811,33.6478,27.0818,1.2519,11.8242,,,,,,,,
1.954,1.934,2.652716,-1.811,33.6477,27.0817,1.2752,11.8148,,,,,,,,
1.977,1.957,2.653039,-1.8096,33.6505,27.084,1.3057,11.7771,,,,,,,,
1.999,1.98,2.653266,-1.8081,33.6521,27.0852,1.343,11.744,,,,,,,,
2.02,2,2.653161,-1.8083,33.6508,27.0841,1.3681,11.7288,,,,,,,,
2.041,2.02,2.652865,-1.8098,33.6484,27.0823,1.3583,11.7257,,,,,,,,
2.061,2.04,2.652701,-1.811,33.6475,27.0816,1.3405,11.7194,,,,,,,,
2.083,2.062,2.652768,-1.811,33.6484,27.0823,1.3272,11.7224,,,,,,,,
2.105,2.084,2.652972,-1.81,33.6501,27.0837,1.3221,11.7174,,,,,,,,
2.127,2.106,2.653278,-1.8086,33.6527,27.0858,1.3196,11.7156,,,,,,,,
2.146,2.125,2.653613,-1.8077,33.6563,27.0887,1.3416,11.708,,,,,,,,
2.165,2.143,2.653786,-1.8072,33.6582,27.0902,1.3621,11.7073,,,,,,,,
2.183,2.161,2.653817,-1.8064,33.6577,27.0897,1.3692,11.7081,,,,,,,,
2.206,2.184,2.653991,-1.804,33.6574,27.0895,1.3702,11.7113,,,,,,,,
2.23,2.207,2.654365,-1.8008,33.6589,27.0906,1.3571,11.7014,,,,,,,,
2.253,2.231,2.654857,-1.7985,33.6632,27.094,1.3439,11.7012,,,,,,,,
2.274,2.252,2.655423,-1.7972,33.6696,27.0992,1.334,11.6992,,,,,,,,
2.295,2.272,2.655838,-1.7964,33.6745,27.1031,1.3309,11.685,,,,,,,,
2.315,2.292,2.656091,-1.7961,33.6777,27.1057,1.3345,11.689,,,,,,,,
2.335,2.311,2.656238,-1.7957,33.6792,27.107,1.2938,11.6875,,,,,,,,
2.356,2.332,2.656385,-1.7948,33.6804,27.1078,1.2478,11.6823,,,,,,,,
2.376,2.352,2.65653,-1.7936,33.6809,27.1082,1.2532,11.6835,,,,,,,,
2.396,2.372,2.656668,-1.7919,33.6809,27.1082,1.2661,11.6742,,,,,,,,
2.416,2.391,2.656807,-1.7898,33.6805,27.1078,1.2964,11.6713,,,,,,,,
2.436,2.411,2.657004,-1.7877,33.6807,27.108,1.3218,11.6685,,,,,,,,
2.457,2.431,2.657182,-1.7853,33.6805,27.1078,1.3154,11.6635,,,,,,,,
2.479,2.454,2.657185,-1.7836,33.6786,27.1062,1.2781,11.6603,,,,,,,,
2.503,2.478,2.65707,-1.7843,33.6778,27.1055,1.2536,11.6548,,,,,,,,
2.525,2.499,2.657023,-1.7855,33.6784,27.1061,1.2552,11.6588,,,,,,,,
2.546,2.52,2.657124,-1.7851,33.6794,27.1068,1.2652,11.6514,,,,,,,,
2.566,2.54,2.657277,-1.7837,33.6799,27.1073,1.2622,11.6517,,,,,,,,
2.587,2.561,2.657421,-1.7828,33.6809,27.108,1.2756,11.6474,,,,,,,,
2.607,2.581,2.65756,-1.7822,33.6822,27.1091,1.3219,11.6487,,,,,,,,
2.627,2.599,2.657701,-1.7817,33.6835,27.1101,1.3745,11.642,,,,,,,,
2.644,2.617,2.657901,-1.7814,33.6859,27.1121,1.3734,11.6427,,,,,,,,
2.66,2.633,2.658107,-1.7807,33.6881,27.1138,1.3548,11.6388,,,,,,,,
2.676,2.649,2.65827,-1.7805,33.6901,27.1154,1.3376,11.6363,,,,,,,,
2.693,2.666,2.658319,-1.7816,33.692,27.117,1.344,11.637,,,,,,,,
2.708,2.681,2.658303,-1.7833,33.6937,27.1185,1.3643,11.6275,,,,,,,,
2.722,2.694,2.65823,-1.7847,33.6942,27.1189,1.3965,11.6273,,,,,,,,
2.734,2.706,2.658126,-1.786,33.6942,27.1189,1.3647,11.6275,,,,,,,,
2.744,2.716,2.658063,-1.7876,33.6952,27.1198,1.3583,11.6134,,,,,,,,
2.75,2.723,2.658056,-1.789,33.6968,27.121,1.3817,11.614,,,,,,,,
2.755,2.727,2.65802,-1.7906,33.698,27.1221,1.3761,11.6074,,,,,,,,
2.758,2.729,2.657962,-1.7927,33.6996,27.1234,1.3982,11.5957,,,,,,,,
2.761,2.732,2.657671,-1.7954,33.6985,27.1227,1.3982,11.5955,,,,,,,,
2.76,2.732,2.65778,-1.7946,33.6992,27.1232,1.3894,11.6023,,,,,,,,
2.763,2.734,2.657744,-1.7948,33.699,27.123,1.4538,11.585,,,,,,,,
2.761,2.734,2.657707,-1.7952,33.6989,27.123,1.4456,11.5905,,,,,,,,
2.763,2.735,2.657699,-1.7948,33.6983,27.1225,1.4359,11.5833,,,,,,,,
2.764,2.736,2.657766,-1.7892,33.6928,27.1179,1.3423,11.5696,,,,,,,,
2.764,2.736,2.657672,-1.7924,33.6952,27.1199,1.3582,11.5737,,,,,,,,
2.763,2.736,2.657653,-1.7943,33.6971,27.1214,1.4043,11.5822,,,,,,,,
2.765,2.737,2.657865,-1.7862,33.6909,27.1162,1.3356,11.5565,,,,,,,,
2.766,2.739,2.657878,-1.7847,33.6893,27.1149,1.3559,11.5599,,,,,,,,
2.77,2.742,2.657779,-1.7841,33.6872,27.1132,1.3983,11.5504,,,,,,,,
2.774,2.745,2.65747,-1.7853,33.6842,27.1108,1.3652,11.5285,,,,,,,,
2.773,2.745,2.657514,-1.7846,33.6842,27.1107,1.3813,11.5295,,,,,,,,
2.773,2.745,2.657623,-1.7841,33.6851,27.1114,1.4001,11.5434,,,,,,,,
2.776,2.748,2.657437,-1.7851,33.6836,27.1103,1.3773,11.5175,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
