"common_name","scientific_name","file_name","species_code"
"snow crab","Chionoecetes opilio","snow crab",68580
"Pacific herring","Clupea pallasii","Pacific herring",21110
"Pacific cod","Gadus macrocephalus","Pacific cod",21720
"Arctic cod","Boreogadus saida","Arctic cod",21725
"saffron cod","Eleginus gracilis","saffron cod",21735
"walleye pollock","Gadus chalcogrammus","walleye pollock",21740
"Bering flounder","Hippoglossoides robustus","Bering flounder",10140
"yellowfin sole","Limanda aspera","yellowfin sole",10210
"Alaska plaice","Pleuronectes quadrituberculatus","Alaska plaice",10285
"purple-orange sea star","Asterias amurensis","purple-orange sea star",81742
"tunicates","Ascidiacea unid.","tunicates",98000
"tunicates","Thaliacea unid.","tunicates",98070
"tunicates","Pelonaia corrugata","tunicates",98079
"tunicates","Styela rustica","tunicates",98082
"tunicates","Boltenia sp.","tunicates",98100
"tunicates","Boltenia ecinata","tunicates",98102
"tunicates","Boltenia ovifera","tunicates",98105
"tunicates","Halocynthia sp.","tunicates",98200
"tunicates","Halocynthia aurantium","tunicates",98205
"tunicates","Distaplia sp.","tunicates",98210
"tunicates","Distaplia occidentalis","tunicates",98212
"tunicates","Distaplia sp. A (Clark, 2006)","tunicates",98214
"tunicates","Ascidiacea unid.","tunicates",98300
"tunicates","Aplidium sp. A (Clark, 2006)","tunicates",98310
"tunicates","Trididemnum sp.","tunicates",98319
"tunicates","Chelyosoma productum","tunicates",98331
"tunicates","Molgula sp.","tunicates",99900
"tunicates","Molgula griffithsii","tunicates",99902
"corals","Ptychodactis patula","corals",43008
"corals","Metridium sp.","corals",43010
"corals","Stomphia sp.","corals",43030
"corals","Stomphia coccinea","corals",43032
"corals","Urticina sp.","corals",43040
"corals","Urticina crassicornis","corals",43042
"corals","Oceanactis diomedeae","corals",43050
"corals","Cribrinopsis sp.","corals",43081
"corals","Cribrinopsis fernaldi","corals",43082
"corals","Actinostolidae unid.","corals",43100
"corals","Actinostola sp.","corals",43110
"corals","Actinostola groenlandica","corals",43113
"corals","Gersemia sp.","corals",41201
"corals","Gersemia fruticosa","corals",41220
"corals","Actiniaria unid.","corals",43000
